body,utc,tt_jd,tdb_minus_tt_s,ra_deg,dec_deg,dist_km
jupiter,2026-05-29T12:00:00,2461190.0008007409,0.000925362,115.148189978,21.840800452,886522636.019224
saturn,2026-05-29T12:00:00,2461190.0008007409,0.000925362,11.604547401,2.537418586,1495969441.954859
sun,2026-08-27T12:00:00,2461280.0008007409,-0.001287460,155.775029350,10.085840154,151140971.324215
moon,2026-08-27T12:00:00,2461280.0008007409,-0.001287460,328.265074511,-13.194036171,392866.090117
venus,2026-08-27T12:00:00,2461280.0008007409,-0.001287460,196.527121262,-10.085145083,88154339.324277
mars,2026-08-27T12:00:00,2461280.0008007409,-0.001287460,101.083414458,23.513333630,280358292.291235
jupiter,2026-08-27T12:00:00,2461280.0008007409,-0.001287460,134.994219018,17.585436562,930891225.187669
saturn,2026-08-27T12:00:00,2461280.0008007409,-0.001287460,13.485812179,2.913179387,1293449264.632644
sun,2026-11-25T12:00:00,2461370.0008007409,-0.001046062,240.800576120,-20.726127162,147671171.900776
moon,2026-11-25T12:00:00,2461370.0008007409,-0.001046062,73.387399988,27.254414501,359466.267972
venus,2026-11-25T12:00:00,2461370.0008007409,-0.001046062,203.348979800,-9.070834669,58423830.582624
mars,2026-11-25T12:00:00,2461370.0008007409,-0.001046062,152.321868392,13.701399278,183321228.002242
jupiter,2026-11-25T12:00:00,2461370.0008007409,-0.001046062,148.664309826,13.534278325,765694044.379797
saturn,2026-11-25T12:00:00,2461370.0008007409,-0.001046062,8.161351566,0.684009212,1319235228.165987
sun,2027-02-23T12:00:00,2461460.0008007409,0.001247227,336.136844070,-9.946989275,148004224.681933
moon,2027-02-23T12:00:00,2461460.0008007409,0.001247227,185.734110246,-6.741298112,374384.053367
venus,2027-02-23T12:00:00,2461460.0008007409,0.001247227,294.406664968,-20.401696410,156866204.869207
mars,2027-02-23T12:00:00,2461460.0008007409,0.001247227,152.597571724,16.016377020,101621192.765808
jupiter,2027-02-23T12:00:00,2461460.0008007409,0.001247227,142.786672145,15.817281164,656296749.538481
saturn,2027-02-23T12:00:00,2461460.0008007409,0.001247227,12.007267193,2.679007150,1518694437.290106
sun,2027-05-24T12:00:00,2461550.0008007409,0.001046062,60.674087770,20.702702159,151483510.093402
moon,2027-05-24T12:00:00,2461550.0008007409,0.001046062,290.065410306,-24.344717924,404087.961862
venus,2027-05-24T12:00:00,2461550.0008007409,0.001046062,39.350136242,13.859498445,234361860.615818
mars,2027-05-24T12:00:00,2461550.0008007409,0.001046062,155.971894045,11.569660073,189903049.124009
